"Item Code","Colour Code","Item Description","Enriched Description",image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,image_19,image_20,image_21,image_22,image_23
M1011245A,3KV,"Organic Cotton Essential Logo T-Shirt","Wardrobe staples don't come much more classic than the crew neck tee. The Essential Logo T-shirt is as happy being that ideal foundation layering piece as it is being front and centre as the hero of your outfit. Layer up under your favourite zip hoodie and jacket, roll your way with shorts or go all classic with faded denim - whichever way you choose to go, there's almost boundless versatility with this tee. Slim fit – designed to fit closer to the body for a more tailored look, Ribbed crew neckline, Short sleeves, Embroidered logo, Signature logo tab.",https://image1.superdry.com/static/images/products/upload9223368955666316516.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316515.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316508.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316513.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316510.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316511.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666316512.jpg,https://image1.superdry.com/static/images/products/M1011245A_3KV_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9210091A,02A,"Badgeman Belt","An essential accessory all year round the Badgeman Belt combines premium and vintage perfectly. Buckle fastening, 100% Buffalo leather, Embossed logo patch. S - 80cm M - 90cm L - 102cm XL - 114cm Belt size is measured from the tip of the belt pin to the middle strap hole and is approximate.",https://image1.superdry.com/static/images/products/upload9223368955666093438.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666093437.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666093435.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666093436.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666093433.jpg,https://image1.superdry.com/static/images/products/m9210091a_02a_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9210091A,02O,"Badgeman Belt","An essential accessory all year round the Badgeman Belt combines premium and vintage perfectly. Buckle fastening, 100% Buffalo leather, Embossed logo patch. S - 80cm M - 90cm L - 102cm XL - 114cm Belt size is measured from the tip of the belt pin to the middle strap hole and is approximate.",https://image1.superdry.com/static/images/products/upload9223368955666225515.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666225514.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666225513.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666225511.jpg,https://image1.superdry.com/static/images/products/m9210091a_02o_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6010550A,01C,"Organic Cotton Vintage Logo Embroidered Top","Whatever your style the Organic Cotton Vintage Logo Embroidered Long Sleeved Top is an absolute must-have this season. Such a versatile option, you'll be able to wear this as a classic layering item under a range of items or create a star look with this long sleeve top as the hero. Slim fit – designed to fit closer to the body for a more tailored look, Long-sleeved, Ribbed crew neckline, Embroidered logo, Side seam logo tab.",https://image1.superdry.com/static/images/products/upload9223368955666040504.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666040503.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666040501.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666040498.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666040500.jpg,https://image1.superdry.com/static/images/products/M6010550A_01C_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6010550A,02A,"Organic Cotton Vintage Logo Embroidered Top","Whatever your style the Organic Cotton Vintage Logo Embroidered Long Sleeved Top is an absolute must-have this season. Such a versatile option, you'll be able to wear this as a classic layering item under a range of items or create a star look with this long sleeve top as the hero. Slim fit – designed to fit closer to the body for a more tailored look, Long-sleeved, Ribbed crew neckline, Embroidered logo, Side seam logo tab.",https://image1.superdry.com/static/images/products/upload9223368955666179709.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179708.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179701.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179703.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179704.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179705.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666179706.jpg,https://image1.superdry.com/static/images/products/M6010550A_02A_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1011245A,5XQ,"Organic Cotton Essential Logo T-Shirt","Wardrobe staples don't come much more classic than the crew neck tee. The Essential Logo T-shirt is as happy being that ideal foundation layering piece as it is being front and centre as the hero of your outfit. Layer up under your favourite zip hoodie and jacket, roll your way with shorts or go all classic with faded denim - whichever way you choose to go, there's almost boundless versatility with this tee. Slim fit – designed to fit closer to the body for a more tailored look, Ribbed crew neckline, Short sleeves, Embroidered logo, Signature logo tab.",https://image1.superdry.com/static/images/products/upload9223368955666222212.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222211.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222205.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222207.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222208.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666222209.jpg,https://image1.superdry.com/static/images/products/M1011245A_5XQ_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1011245A,5WU,"Organic Cotton Essential Logo T-Shirt","Wardrobe staples don't come much more classic than the crew neck tee. The Essential Logo T-shirt is as happy being that ideal foundation layering piece as it is being front and centre as the hero of your outfit. Layer up under your favourite zip hoodie and jacket, roll your way with shorts or go all classic with faded denim - whichever way you choose to go, there's almost boundless versatility with this tee. Slim fit – designed to fit closer to the body for a more tailored look, Ribbed crew neckline, Short sleeves, Embroidered logo, Signature logo tab.",https://image1.superdry.com/static/images/products/upload9223368955666180288.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180287.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180280.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180282.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180284.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180283.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666180285.jpg,https://image1.superdry.com/static/images/products/M1011245A_5WU_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9010073A,06A,"Vintage Embroidered Cap","The perfect companion, this cap is a versatile look for your day to day wear. It's easy to match for any occasion thanks to its minimalistic design. Six-panel design, Curved peak, Ventilation detailing, Leather adjuster strap, Embroidered Superdry logo.",https://image1.superdry.com/static/images/products/upload9223368955666041816.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666041819.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666041815.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666041820.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666041817.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666041818.jpg,https://image1.superdry.com/static/images/products/y9010073a_06a_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9010073A,ADQ,"Vintage Embroidered Cap","The perfect companion, this cap is a versatile look for your day to day wear. It's easy to match for any occasion thanks to its minimalistic design. Six-panel design, Curved peak, Ventilation detailing, Leather adjuster strap, Embroidered Superdry logo.",https://image1.superdry.com/static/images/products/upload9223368955666063176.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666063179.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666063175.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666063180.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666063177.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666063178.jpg,https://image1.superdry.com/static/images/products/Y9010073A_ADQ_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9010073A,RXG,"Vintage Embroidered Cap","The perfect companion, this cap is a versatile look for your day to day wear. It's easy to match for any occasion thanks to its minimalistic design. Six-panel design, Curved peak, Ventilation detailing, Leather adjuster strap, Embroidered Superdry logo.",https://image1.superdry.com/static/images/products/upload9223368955666065416.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666065419.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666065415.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666065420.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666065417.jpg,https://image1.superdry.com/static/images/products/zoom/upload9223368955666065418.jpg,https://image1.superdry.com/static/images/products/y9010073a_rxg_D9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
